name,category,min_players,max_players,min_age,min_time_min,max_time_min,ideal_energy_state,attention_span_required,adult_enjoyment,kid_independence,setup_friction,chaos_level,replay_ease,equipment,avoid_if,why
Uno Flip,Card,2,10,7,20,45,Medium,Medium,3,Semi,None,Mixed,High,Special Cards,"kids are very tired or attention is very low","Fast turns and flip mechanic keep everyone on edge — adults and kids equally surprised"
Sushi Go!,Card,2,5,8,15,25,Low,Medium,4,Semi,Low,Calm,High,Special Cards,"very young kids (under 7) without adult help","Drafting mechanic is simple to learn but adults genuinely strategize — beautiful cards kids love too"
Taco Cat Goat Cheese Pizza,Card,2,8,6,10,20,High,Low,4,Independent,None,Loud,High,Special Cards,"kids are tired or easily frustrated","Ridiculous name, instant chaos, zero learning curve — best when kids have energy to burn"
Connect Four,Board,2,2,6,5,15,Low,Medium,3,Independent,None,Calm,High,Board,"more than 2 players — others waiting around gets boring fast","Head-to-head, fast, satisfying — surprisingly strategic once kids hit 7+"
Jenga,Physical,2,10,6,15,30,Medium,Medium,4,Independent,Low,Mixed,High,Other,"very young kids or extremely short patience — one bad pull kills the mood","Builds real tension across all ages — adults and kids equally nervous on hard pulls"
Dobble / Spot It!,Card,2,8,6,10,15,Medium,High,4,Independent,None,Mixed,High,Special Cards,"kids under 6 or anyone who dislikes speed pressure","Pure reflexes — adults don't automatically beat kids, which makes it genuinely fair"
Exploding Kittens,Card,2,5,7,15,25,Medium,Medium,4,Semi,None,Mixed,High,Special Cards,"very young kids who can't handle losing with humor","Silly art, sneaky strategy, light backstabbing — adults enjoy it as much as kids do"
Sleeping Queens,Card,2,5,5,15,25,Low,Medium,3,Semi,None,Calm,High,Special Cards,"kids under 5 without adult help — too many card types to remember","Gentle strategy that sneaks in basic math — adults enjoy the surprise combo plays"
Skip-Bo,Card,2,6,7,30,60,Low,Medium,3,Semi,None,Calm,Medium,Special Cards,"short sessions — needs 30+ min to feel satisfying, not a quick game","Relaxed sequential card play — good for calm evenings when you want something longer"
King of Tokyo,Board,2,6,8,30,45,Medium,Medium,4,Semi,Low,Mixed,High,Board,"kids under 7 or groups that get upset with direct conflict","Monster battle with dice and cards — one of the rare games where adults are genuinely excited too"
Charades,Verbal,3,10,8,20,40,High,Low,4,Independent,None,Loud,High,None,"shy kids or adults who hate performing — kills the game instantly","No materials, instant laughter, adults often lose to kids — natural equalizer"
20 Questions,Verbal,2,10,7,10,20,Low,Medium,3,Independent,None,Calm,High,None,"very young kids (under 6) who need too many hints to keep it fun","Zero setup, works anywhere — perfect for restaurants or car trips"
Go Fish,Card,2,5,4,10,20,Low,Low,2,Needs Help,None,Calm,Medium,Standard Cards,"anyone over age 7 who's played it before — low engagement for adults","Works with very young kids (4+), teaches memory basics — honest: low adult enjoyment"
Blink,Card,2,2,7,5,10,High,High,3,Independent,None,Mixed,High,Special Cards,"more than 2 players or anyone who dislikes fast-paced head-to-head competition","World's fastest card game — pure reflex and pattern recognition, rounds over in 2 minutes"
Story Chain,Verbal,2,10,5,10,20,Low,Low,4,Semi,None,Calm,High,None,"kids too tired to be creative — they'll just say silly random words","Each person adds one sentence to a story — hilarious results, zero materials, works anywhere"
